http://www.pinguino.cc/wiki/index.php?title=Tone

0	_C		65.41, 130.81, 261.63, 523.25, 1046.50, 2093.00

1	_C_sharp	69.30, 138.59, 277.18, 554.37, 1108.73, 2217.46

2	_D		73.42, 146.83, 293.66, 587.33, 1174.66, 2349.32

3	_D_sharp	77.78, 155.56, 311.13, 622.25,1244.51, 2489.02

4	_E		82.41, 164.81, 329.63, 659.26, 1318.51, 2637.02

5	_F		87.31, 174.61, 349.23, 698.46, 1396.91, 2793.83

6	_F_sharp	92.50, 185.00, 369.99, 739.99, 1479.98, 2959.96

7	_G		98.00, 196.00, 392.00, 783.99, 1567.98, 3135.96

8	_G_sharp	103.83, 207.65, 415.30, 830.61, 1661.22, 3322.44

9	_A		110.00, 220.00, 440.00, 880.00, 1760.00, 3520.00

10	_A_shapr	116.54, 233.08, 466.16, 932.33, 1864.66, 0

11	_B		123.47, 246.94, 493.88, 987.77, 1975.53, 0
